BookId,Title,Author,Category,Status,Borrower,DueDate,Rating,AddedDate,Description,RatingCount,RatingSum
B0001,解憂柑仔店,藤野圭吾,文學小說,在館中,,,3,2026-06-01,一間神奇的雜貨店，煩惱投進信箱便能得到回覆。三個少年的奇遇，串起了跨越時空的人情與救贖。,1,3
B0002,從零學C尖,王小銘,資訊科技,在館中,,,4,2026-06-10,從零開始學習 C# 程式語言，涵蓋基礎語法、物件導向概念，到實際應用開發，適合完全沒有程式基礎的初學者。,3,11
B0003,有錢爸爸沒錢爸爸,羅伯・清崎,商業理財,在館中,,,4,2026-05-20,用兩位父親的理財觀念對比，教導讀者如何建立財務自由的思維，讓錢為你工作而不是你為錢工作。,3,11
B0004,少即是設計,原硏哉,藝術設計,在館中,,,4,2026-06-15,日本設計大師探討空的美學，以極簡主義重新定義設計的本質，是平面與產品設計的經典之作。,2,7
B0005,春樹物語選集,村上晴樹,文學小說,在館中,,,4,2026-05-15,收錄最具代表性的短篇作品，孤獨、爵士樂與奇異的日常交織，帶領讀者進入獨特的文學世界。,9,38
B0006,人工智慧革命,李凱夫,資訊科技,在館中,,,1,2026-06-05,人工智慧領域先驅深度解析 AI 的發展現況與未來趨勢，探討 AI 將如何顛覆產業、改變人類生活。,1,1
B0007,原子級習慣,J. Cleer,商業理財,在館中,,,3,2026-04-10,微小改變累積驚人成果。作者提出四個行為改變法則，幫助讀者建立好習慣、打破壞習慣，實現長期目標。,1,3
B0008,色彩的法則,約翰・伊田,藝術設計,在館中,,,3,2026-05-28,系統性介紹色彩的理論、對比與和諧，是藝術與設計學習者的必讀聖典。,1,3
B0009,藤野圭吾選集,藤野圭吾,文學小說,在館中,,,3,2026-06-18,精選推理小說中最扣人心弦的作品，縝密的邏輯推理搭配深刻的人性描寫，讓人一讀便無法放下。,1,3
B0010,資料庫從入門到實戰,陳建宏,資訊科技,在館中,,,1,2026-06-12,從資料庫設計原理到 SQL 語法實戰，涵蓋正規化、索引優化與交易管理，是資訊科技學生的實用工具書。,1,1
B0011,投資的邏輯,雷皓斯,商業理財,在館中,,,3,2026-06-08,分享價值投資的核心思維，教導如何分析財報、選股佈局，建立屬於自己的投資系統。,1,3
B0012,攝影與美學,郭英生,藝術設計,在館中,,,3,2026-06-03,用鏡頭詮釋光影與構圖的藝術，引領讀者從技術走向美學，重新看見生活中的視覺詩意。,1,3
